run_id,created_at,benchmark,prompt_template_id,model,item_id,lichess_puzzle_id,rating,rating_band,rating_bucket,primary_theme,status,solved,first_move_correct,exact_player_line,player_move_prefix_score,expected_full_line,expected_player_line,submitted_player_moves,revealed_opponent_moves,invalid_turn_index,error_message,latency_ms_total,input_tokens,output_tokens,total_tokens,reasoning_tokens,cost_usd,served_provider,generation_id,turns_json
20260529T161552Z-6f69c4ed,2026-05-29T16:15:52.370Z,lichess-puzzles-v1,uci-next-move-v1,anthropic/claude-3-haiku,lichess:rYFDJ,rYFDJ,962,under-1200,0900-0999,bishopEndgame,invalid_format,false,false,false,0,"[""c2c4"",""b5c4"",""b3c4"",""d5c4"",""e3e4""]","[""c2c4"",""b3c4"",""e3e4""]",[],[],0,,9648,74,5,79,,0.00017475,bedrock,gen_01KST8APYJF1MBYEFJRAYN6ECR,"[{""turnIndex"":0,""prompt"":""Position FEN: 8/p5pp/5p2/1p1k4/4b1PB/1P2K3/P1P4P/8 w - - 0 31\nFind the best move for the side to move.\nReply with UCI move notation only."",""rawAnswer"":""g4"",""parsedMove"":"""",""expectedMove"":""c2c4"",""result"":""invalid_format"",""errorMessage"":""""}]"
20260529T161552Z-6f69c4ed,2026-05-29T16:16:02.039Z,lichess-puzzles-v1,uci-next-move-v1,anthropic/claude-3-haiku,lichess:xcx9M,xcx9M,952,under-1200,0900-0999,advancedPawn,invalid_format,false,false,false,0,"[""f2f1"",""a1f1"",""e2f1q""]","[""f2f1"",""e2f1q""]",[],[],0,,1418,75,22,97,,0.00019625,bedrock,gen_01KST8AVQBMPWBF88R0842DBQY,"[{""turnIndex"":0,""prompt"":""Position FEN: r1b5/p5k1/1b5p/4R1pQ/1Np5/8/PPP1prPP/R6K b - - 0 24\nFind the best move for the side to move.\nReply with UCI move notation only."",""rawAnswer"":""The best move for the side to move in the given position is:\n\nf2e1"",""parsedMove"":"""",""expectedMove"":""f2f1"",""result"":""invalid_format"",""errorMessage"":""""}]"
20260529T161552Z-6f69c4ed,2026-05-29T16:16:03.491Z,lichess-puzzles-v1,uci-next-move-v1,anthropic/claude-3-haiku,lichess:wAIrQ,wAIrQ,1541,1200-1599,1500-1599,fork,invalid_format,false,false,false,0,"[""h7g7"",""e7g7"",""a2e6"",""d7e6"",""f6e6""]","[""h7g7"",""a2e6"",""f6e6""]",[],[],0,,1812,81,28,109,,0.00020525,bedrock,gen_01KST8AX3KYMTV59N0F70GNRM0,"[{""turnIndex"":0,""prompt"":""Position FEN: 6k1/3qr1rR/2p1pQb1/ppP1Pp2/3P4/P1P5/B5PP/6K1 w - - 0 36\nFind the best move for the side to move.\nReply with UCI move notation only."",""rawAnswer"":""The best move for the side to move is Qxe6.\n\nUCI move notation: Qxe6"",""parsedMove"":"""",""expectedMove"":""h7g7"",""result"":""invalid_format"",""errorMessage"":""""}]"
20260529T161552Z-6f69c4ed,2026-05-29T16:16:05.308Z,lichess-puzzles-v1,uci-next-move-v1,anthropic/claude-3-haiku,lichess:Aw4iZ,Aw4iZ,1362,1200-1599,1300-1399,intermezzo,invalid_format,false,false,false,0,"[""h5d1"",""f1d1"",""c6d4""]","[""h5d1"",""c6d4""]",[],[],0,,908,84,6,90,,0.0001785,bedrock,gen_01KST8AYVED795CZ07TTVM7R97,"[{""turnIndex"":0,""prompt"":""Position FEN: r1b1kbnr/pp3ppp/2n1p3/7q/2BN4/8/PPPN1PPP/R1BQ1RK1 b kq - 0 8\nFind the best move for the side to move.\nReply with UCI move notation only."",""rawAnswer"":""qg4"",""parsedMove"":"""",""expectedMove"":""h5d1"",""result"":""invalid_format"",""errorMessage"":""""}]"
20260529T161552Z-6f69c4ed,2026-05-29T16:16:06.218Z,lichess-puzzles-v1,uci-next-move-v1,anthropic/claude-3-haiku,lichess:xxsYf,xxsYf,1975,1600-1999,1900-1999,attraction,invalid_format,false,false,false,0,"[""b8b5"",""a5b5"",""c7c6"",""d5e4"",""c6b5"",""e4f5"",""d7e8"",""f5g6"",""e8f8""]","[""b8b5"",""c7c6"",""c6b5"",""d7e8"",""e8f8""]",[],[],0,,885,74,22,96,,0.000196,bedrock,gen_01KST8AZMPFHE5D6PFS7ZPQXF1,"[{""turnIndex"":0,""prompt"":""Position FEN: 1r6/2pk4/3p1P2/RP1Kp1p1/6P1/6P1/8/8 b - - 0 46\nFind the best move for the side to move.\nReply with UCI move notation only."",""rawAnswer"":""The best move for the side to move in the given position is:\n\ne5d4"",""parsedMove"":"""",""expectedMove"":""b8b5"",""result"":""invalid_format"",""errorMessage"":""""}]"
20260529T161552Z-6f69c4ed,2026-05-29T16:16:07.104Z,lichess-puzzles-v1,uci-next-move-v1,anthropic/claude-3-haiku,lichess:6RXXg,6RXXg,1704,1600-1999,1700-1799,mate,invalid_format,false,false,false,0,"[""b2b4"",""c5c4"",""h6c6""]","[""b2b4"",""h6c6""]",[],[],0,,1444,72,30,102,,0.0002055,bedrock,gen_01KST8B0GVGP775W2D82TD1PN2,"[{""turnIndex"":0,""prompt"":""Position FEN: 4r3/8/p6R/1pkp4/8/2P3r1/PP1K1p2/4n3 w - - 0 44\nFind the best move for the side to move.\nReply with UCI move notation only."",""rawAnswer"":""The best move for the side to move in the given position is Rxg7.\n\nUCI move notation: Rxg7"",""parsedMove"":"""",""expectedMove"":""b2b4"",""result"":""invalid_format"",""errorMessage"":""""}]"
20260529T161552Z-6f69c4ed,2026-05-29T16:16:08.549Z,lichess-puzzles-v1,uci-next-move-v1,anthropic/claude-3-haiku,lichess:bHLqd,bHLqd,2177,2000-2399,2100-2199,advancedPawn,invalid_format,false,false,false,0,"[""e6d7"",""e8e1"",""c1d2""]","[""e6d7"",""c1d2""]",[],[],0,,637,84,17,101,,0.00019225,bedrock,gen_01KST8B1YFKQ3T6Z1CJQGGFE5H,"[{""turnIndex"":0,""prompt"":""Position FEN: 1r2r1k1/3q4/1p2P1p1/p1p3Pp/1nP5/6QN/1P6/2K1R3 w - - 0 33\nFind the best move for the side to move.\nReply with UCI move notation only."",""rawAnswer"":""The best move for the side to move is Qe2."",""parsedMove"":"""",""expectedMove"":""e6d7"",""result"":""invalid_format"",""errorMessage"":""""}]"
20260529T161552Z-6f69c4ed,2026-05-29T16:16:09.187Z,lichess-puzzles-v1,uci-next-move-v1,anthropic/claude-3-haiku,lichess:i8DfM,i8DfM,2029,2000-2399,2000-2099,mate,invalid_format,false,false,false,0,"[""g6h7"",""g8h8"",""f1f8""]","[""g6h7"",""f1f8""]",[],[],0,,1112,82,16,98,,0.0001905,bedrock,gen_01KST8B2V276EMDQ5CSYKBQKPQ,"[{""turnIndex"":0,""prompt"":""Position FEN: 6k1/6p1/p3p1B1/1p2q1b1/7p/1P5P/P1Qr2P1/5R1K w - - 1 35\nFind the best move for the side to move.\nReply with UCI move notation only."",""rawAnswer"":""The best move for the side to move is Rf1."",""parsedMove"":"""",""expectedMove"":""g6h7"",""result"":""invalid_format"",""errorMessage"":""""}]"
20260529T161552Z-6f69c4ed,2026-05-29T16:16:10.299Z,lichess-puzzles-v1,uci-next-move-v1,anthropic/claude-3-haiku,lichess:t42fM,t42fM,2450,2400-plus,2400-2499,attraction,invalid_format,false,false,false,0,"[""c4c3"",""d2c3"",""f8c8"",""c3d2"",""c8c4""]","[""c4c3"",""f8c8"",""c8c4""]",[],[],0,,1211,87,25,112,,0.000203,bedrock,gen_01KST8B3MTYE3BM5BZ5GXNFC0E,"[{""turnIndex"":0,""prompt"":""Position FEN: r4q1r/1k2bp2/4p1p1/1p1pP3/1PpP1PB1/4B2P/1Q1K4/R4R2 b - - 0 40\nFind the best move for the side to move.\nReply with UCI move notation only."",""rawAnswer"":""The best move for the side to move (Black) in the given position is:\n\nc5e4"",""parsedMove"":"""",""expectedMove"":""c4c3"",""result"":""invalid_format"",""errorMessage"":""""}]"
20260529T161552Z-6f69c4ed,2026-05-29T16:16:11.512Z,lichess-puzzles-v1,uci-next-move-v1,anthropic/claude-3-haiku,lichess:NblXJ,NblXJ,2415,2400-plus,2400-2499,advantage,invalid_format,false,false,false,0,"[""h8f8"",""h4h7"",""f8f5"",""f4g4"",""f5d5""]","[""h8f8"",""f8f5"",""f5d5""]",[],[],0,,1116,73,22,95,,0.00019575,bedrock,gen_01KST8B4TT8SN9GRD9PSGGVN63,"[{""turnIndex"":0,""prompt"":""Position FEN: 7R/3p3P/2p5/1pPb1p2/1P3k1r/2KB4/8/8 w - - 0 45\nFind the best move for the side to move.\nReply with UCI move notation only."",""rawAnswer"":""The best move for the side to move in the given position is c5xb6."",""parsedMove"":"""",""expectedMove"":""h8f8"",""result"":""invalid_format"",""errorMessage"":""""}]"
