run_id,created_at,benchmark,prompt_template_id,model,item_id,lichess_puzzle_id,rating,rating_band,rating_bucket,primary_theme,status,solved,first_move_correct,exact_player_line,player_move_prefix_score,expected_full_line,expected_player_line,submitted_player_moves,revealed_opponent_moves,invalid_turn_index,error_message,latency_ms_total,input_tokens,output_tokens,total_tokens,reasoning_effort,max_output_tokens,reasoning_tokens,cost_usd,served_provider,generation_id,turns_json
20260605T202431Z-2dab17f1,2026-06-05T20:24:40.809Z,lichess-puzzles-v1,uci-or-san-single-move-v3,meta/llama-3.2-1b,lichess:rYFDJ,rYFDJ,962,under-1200,0900-0999,bishopEndgame,invalid_format,false,false,false,0,"[""c2c4"",""b5c4"",""b3c4"",""d5c4"",""e3e4""]","[""c2c4"",""b3c4"",""e3e4""]",[],[],0,,841,171,4,175,,,,0.0000175,bedrock,gen_01KTCQB5QT5165AP2V4M6EE964,"[{""turnIndex"":0,""prompt"":""Position FEN: 8/p5pp/5p2/1p1k4/4b1PB/1P2K3/P1P4P/8 w - - 0 31\nFind the best move for the side to move.\nOutput contract:\nReturn exactly one legal chess move for the side to move.\nAccepted notation: UCI such as e2e4 or e7e8q, or SAN such as Nf3, Rxa6, O-O, or exd8=Q+.\nYour entire response must be only that move token. No explanation, labels, move numbers, code block, or extra text."",""rawAnswer"":""Nf3"",""parsedMove"":"""",""expectedMove"":""c2c4"",""result"":""invalid_format"",""errorMessage"":"""",""reasoning"":[],""usage"":{""inputTokens"":171,""outputTokens"":4,""totalTokens"":175,""raw"":{""inputTokens"":171,""outputTokens"":4,""totalTokens"":175}},""costUsd"":0.0000175,""servedProvider"":""bedrock"",""generationId"":""gen_01KTCQB5QT5165AP2V4M6EE964""}]"
20260605T202431Z-2dab17f1,2026-06-05T20:24:41.653Z,lichess-puzzles-v1,uci-or-san-single-move-v3,meta/llama-3.2-1b,lichess:xcx9M,xcx9M,952,under-1200,0900-0999,advancedPawn,invalid_format,false,false,false,0,"[""f2f1"",""a1f1"",""e2f1q""]","[""f2f1"",""e2f1q""]",[],[],0,,790,172,3,175,,,,0.0000175,bedrock,gen_01KTCQB6MFBHXQ4AD4FPKDBKJS,"[{""turnIndex"":0,""prompt"":""Position FEN: r1b5/p5k1/1b5p/4R1pQ/1Np5/8/PPP1prPP/R6K b - - 0 24\nFind the best move for the side to move.\nOutput contract:\nReturn exactly one legal chess move for the side to move.\nAccepted notation: UCI such as e2e4 or e7e8q, or SAN such as Nf3, Rxa6, O-O, or exd8=Q+.\nYour entire response must be only that move token. No explanation, labels, move numbers, code block, or extra text."",""rawAnswer"":""e4"",""parsedMove"":"""",""expectedMove"":""f2f1"",""result"":""invalid_format"",""errorMessage"":"""",""reasoning"":[],""usage"":{""inputTokens"":172,""outputTokens"":3,""totalTokens"":175,""raw"":{""inputTokens"":172,""outputTokens"":3,""totalTokens"":175}},""costUsd"":0.0000175,""servedProvider"":""bedrock"",""generationId"":""gen_01KTCQB6MFBHXQ4AD4FPKDBKJS""}]"
20260605T202431Z-2dab17f1,2026-06-05T20:24:42.448Z,lichess-puzzles-v1,uci-or-san-single-move-v3,meta/llama-3.2-1b,lichess:wAIrQ,wAIrQ,1541,1200-1599,1500-1599,fork,invalid_format,false,false,false,0,"[""h7g7"",""e7g7"",""a2e6"",""d7e6"",""f6e6""]","[""h7g7"",""a2e6"",""f6e6""]",[],[],0,,710,177,3,180,,,,0.000018,bedrock,gen_01KTCQB7AXPJXDYCW7R6SYJA15,"[{""turnIndex"":0,""prompt"":""Position FEN: 6k1/3qr1rR/2p1pQb1/ppP1Pp2/3P4/P1P5/B5PP/6K1 w - - 0 36\nFind the best move for the side to move.\nOutput contract:\nReturn exactly one legal chess move for the side to move.\nAccepted notation: UCI such as e2e4 or e7e8q, or SAN such as Nf3, Rxa6, O-O, or exd8=Q+.\nYour entire response must be only that move token. No explanation, labels, move numbers, code block, or extra text."",""rawAnswer"":""e2"",""parsedMove"":"""",""expectedMove"":""h7g7"",""result"":""invalid_format"",""errorMessage"":"""",""reasoning"":[],""usage"":{""inputTokens"":177,""outputTokens"":3,""totalTokens"":180,""raw"":{""inputTokens"":177,""outputTokens"":3,""totalTokens"":180}},""costUsd"":0.000018,""servedProvider"":""bedrock"",""generationId"":""gen_01KTCQB7AXPJXDYCW7R6SYJA15""}]"
20260605T202431Z-2dab17f1,2026-06-05T20:24:43.163Z,lichess-puzzles-v1,uci-or-san-single-move-v3,meta/llama-3.2-1b,lichess:Aw4iZ,Aw4iZ,1362,1200-1599,1300-1399,intermezzo,invalid_format,false,false,false,0,"[""h5d1"",""f1d1"",""c6d4""]","[""h5d1"",""c6d4""]",[],[],0,,635,177,3,180,,,,0.000018,bedrock,gen_01KTCQB81GN7Y0BXJMXW6T0Y2E,"[{""turnIndex"":0,""prompt"":""Position FEN: r1b1kbnr/pp3ppp/2n1p3/7q/2BN4/8/PPPN1PPP/R1BQ1RK1 b kq - 0 8\nFind the best move for the side to move.\nOutput contract:\nReturn exactly one legal chess move for the side to move.\nAccepted notation: UCI such as e2e4 or e7e8q, or SAN such as Nf3, Rxa6, O-O, or exd8=Q+.\nYour entire response must be only that move token. No explanation, labels, move numbers, code block, or extra text."",""rawAnswer"":""e2"",""parsedMove"":"""",""expectedMove"":""h5d1"",""result"":""invalid_format"",""errorMessage"":"""",""reasoning"":[],""usage"":{""inputTokens"":177,""outputTokens"":3,""totalTokens"":180,""raw"":{""inputTokens"":177,""outputTokens"":3,""totalTokens"":180}},""costUsd"":0.000018,""servedProvider"":""bedrock"",""generationId"":""gen_01KTCQB81GN7Y0BXJMXW6T0Y2E""}]"
20260605T202431Z-2dab17f1,2026-06-05T20:24:43.801Z,lichess-puzzles-v1,uci-or-san-single-move-v3,meta/llama-3.2-1b,lichess:xxsYf,xxsYf,1975,1600-1999,1900-1999,attraction,invalid_format,false,false,false,0,"[""b8b5"",""a5b5"",""c7c6"",""d5e4"",""c6b5"",""e4f5"",""d7e8"",""f5g6"",""e8f8""]","[""b8b5"",""c7c6"",""c6b5"",""d7e8"",""e8f8""]",[],[],0,,691,172,4,176,,,,0.0000176,bedrock,gen_01KTCQB8N8ETQA3203WZVNWM8Y,"[{""turnIndex"":0,""prompt"":""Position FEN: 1r6/2pk4/3p1P2/RP1Kp1p1/6P1/6P1/8/8 b - - 0 46\nFind the best move for the side to move.\nOutput contract:\nReturn exactly one legal chess move for the side to move.\nAccepted notation: UCI such as e2e4 or e7e8q, or SAN such as Nf3, Rxa6, O-O, or exd8=Q+.\nYour entire response must be only that move token. No explanation, labels, move numbers, code block, or extra text."",""rawAnswer"":""Nf3"",""parsedMove"":"""",""expectedMove"":""b8b5"",""result"":""invalid_format"",""errorMessage"":"""",""reasoning"":[],""usage"":{""inputTokens"":172,""outputTokens"":4,""totalTokens"":176,""raw"":{""inputTokens"":172,""outputTokens"":4,""totalTokens"":176}},""costUsd"":0.0000176,""servedProvider"":""bedrock"",""generationId"":""gen_01KTCQB8N8ETQA3203WZVNWM8Y""}]"
20260605T202431Z-2dab17f1,2026-06-05T20:24:44.495Z,lichess-puzzles-v1,uci-or-san-single-move-v3,meta/llama-3.2-1b,lichess:6RXXg,6RXXg,1704,1600-1999,1700-1799,mate,invalid_format,false,false,false,0,"[""b2b4"",""c5c4"",""h6c6""]","[""b2b4"",""h6c6""]",[],[],0,,405,171,3,174,,,,0.0000174,bedrock,gen_01KTCQB9APDWP6S7VAEP39DFV9,"[{""turnIndex"":0,""prompt"":""Position FEN: 4r3/8/p6R/1pkp4/8/2P3r1/PP1K1p2/4n3 w - - 0 44\nFind the best move for the side to move.\nOutput contract:\nReturn exactly one legal chess move for the side to move.\nAccepted notation: UCI such as e2e4 or e7e8q, or SAN such as Nf3, Rxa6, O-O, or exd8=Q+.\nYour entire response must be only that move token. No explanation, labels, move numbers, code block, or extra text."",""rawAnswer"":""e4"",""parsedMove"":"""",""expectedMove"":""b2b4"",""result"":""invalid_format"",""errorMessage"":"""",""reasoning"":[],""usage"":{""inputTokens"":171,""outputTokens"":3,""totalTokens"":174,""raw"":{""inputTokens"":171,""outputTokens"":3,""totalTokens"":174}},""costUsd"":0.0000174,""servedProvider"":""bedrock"",""generationId"":""gen_01KTCQB9APDWP6S7VAEP39DFV9""}]"
20260605T202431Z-2dab17f1,2026-06-05T20:24:44.904Z,lichess-puzzles-v1,uci-or-san-single-move-v3,meta/llama-3.2-1b,lichess:bHLqd,bHLqd,2177,2000-2399,2100-2199,advancedPawn,invalid_format,false,false,false,0,"[""e6d7"",""e8e1"",""c1d2""]","[""e6d7"",""c1d2""]",[],[],0,,510,181,3,184,,,,0.0000184,bedrock,gen_01KTCQB9QF7BE62XD48R3CETWX,"[{""turnIndex"":0,""prompt"":""Position FEN: 1r2r1k1/3q4/1p2P1p1/p1p3Pp/1nP5/6QN/1P6/2K1R3 w - - 0 33\nFind the best move for the side to move.\nOutput contract:\nReturn exactly one legal chess move for the side to move.\nAccepted notation: UCI such as e2e4 or e7e8q, or SAN such as Nf3, Rxa6, O-O, or exd8=Q+.\nYour entire response must be only that move token. No explanation, labels, move numbers, code block, or extra text."",""rawAnswer"":""e4"",""parsedMove"":"""",""expectedMove"":""e6d7"",""result"":""invalid_format"",""errorMessage"":"""",""reasoning"":[],""usage"":{""inputTokens"":181,""outputTokens"":3,""totalTokens"":184,""raw"":{""inputTokens"":181,""outputTokens"":3,""totalTokens"":184}},""costUsd"":0.0000184,""servedProvider"":""bedrock"",""generationId"":""gen_01KTCQB9QF7BE62XD48R3CETWX""}]"
20260605T202431Z-2dab17f1,2026-06-05T20:24:45.417Z,lichess-puzzles-v1,uci-or-san-single-move-v3,meta/llama-3.2-1b,lichess:i8DfM,i8DfM,2029,2000-2399,2000-2099,mate,invalid_format,false,false,false,0,"[""g6h7"",""g8h8"",""f1f8""]","[""g6h7"",""f1f8""]",[],[],0,,429,180,4,184,,,,0.0000184,bedrock,gen_01KTCQBA7SXPA2QR9NC4QTKWK5,"[{""turnIndex"":0,""prompt"":""Position FEN: 6k1/6p1/p3p1B1/1p2q1b1/7p/1P5P/P1Qr2P1/5R1K w - - 1 35\nFind the best move for the side to move.\nOutput contract:\nReturn exactly one legal chess move for the side to move.\nAccepted notation: UCI such as e2e4 or e7e8q, or SAN such as Nf3, Rxa6, O-O, or exd8=Q+.\nYour entire response must be only that move token. No explanation, labels, move numbers, code block, or extra text."",""rawAnswer"":""Nf3"",""parsedMove"":"""",""expectedMove"":""g6h7"",""result"":""invalid_format"",""errorMessage"":"""",""reasoning"":[],""usage"":{""inputTokens"":180,""outputTokens"":4,""totalTokens"":184,""raw"":{""inputTokens"":180,""outputTokens"":4,""totalTokens"":184}},""costUsd"":0.0000184,""servedProvider"":""bedrock"",""generationId"":""gen_01KTCQBA7SXPA2QR9NC4QTKWK5""}]"
20260605T202431Z-2dab17f1,2026-06-05T20:24:45.849Z,lichess-puzzles-v1,uci-or-san-single-move-v3,meta/llama-3.2-1b,lichess:t42fM,t42fM,2450,2400-plus,2400-2499,attraction,invalid_format,false,false,false,0,"[""c4c3"",""d2c3"",""f8c8"",""c3d2"",""c8c4""]","[""c4c3"",""f8c8"",""c8c4""]",[],[],0,,419,185,4,189,,,,0.0000189,bedrock,gen_01KTCQBANF65EXXCAABNGECAW0,"[{""turnIndex"":0,""prompt"":""Position FEN: r4q1r/1k2bp2/4p1p1/1p1pP3/1PpP1PB1/4B2P/1Q1K4/R4R2 b - - 0 40\nFind the best move for the side to move.\nOutput contract:\nReturn exactly one legal chess move for the side to move.\nAccepted notation: UCI such as e2e4 or e7e8q, or SAN such as Nf3, Rxa6, O-O, or exd8=Q+.\nYour entire response must be only that move token. No explanation, labels, move numbers, code block, or extra text."",""rawAnswer"":""Nc3"",""parsedMove"":"""",""expectedMove"":""c4c3"",""result"":""invalid_format"",""errorMessage"":"""",""reasoning"":[],""usage"":{""inputTokens"":185,""outputTokens"":4,""totalTokens"":189,""raw"":{""inputTokens"":185,""outputTokens"":4,""totalTokens"":189}},""costUsd"":0.0000189,""servedProvider"":""bedrock"",""generationId"":""gen_01KTCQBANF65EXXCAABNGECAW0""}]"
20260605T202431Z-2dab17f1,2026-06-05T20:24:46.271Z,lichess-puzzles-v1,uci-or-san-single-move-v3,meta/llama-3.2-1b,lichess:NblXJ,NblXJ,2415,2400-plus,2400-2499,advantage,invalid_format,false,false,false,0,"[""h8f8"",""h4h7"",""f8f5"",""f4g4"",""f5d5""]","[""h8f8"",""f8f5"",""f5d5""]",[],[],0,,620,173,3,176,,,,0.0000176,bedrock,gen_01KTCQBB2CJVNX6RZDQVQBMNS8,"[{""turnIndex"":0,""prompt"":""Position FEN: 7R/3p3P/2p5/1pPb1p2/1P3k1r/2KB4/8/8 w - - 0 45\nFind the best move for the side to move.\nOutput contract:\nReturn exactly one legal chess move for the side to move.\nAccepted notation: UCI such as e2e4 or e7e8q, or SAN such as Nf3, Rxa6, O-O, or exd8=Q+.\nYour entire response must be only that move token. No explanation, labels, move numbers, code block, or extra text."",""rawAnswer"":""e2"",""parsedMove"":"""",""expectedMove"":""h8f8"",""result"":""invalid_format"",""errorMessage"":"""",""reasoning"":[],""usage"":{""inputTokens"":173,""outputTokens"":3,""totalTokens"":176,""raw"":{""inputTokens"":173,""outputTokens"":3,""totalTokens"":176}},""costUsd"":0.0000176,""servedProvider"":""bedrock"",""generationId"":""gen_01KTCQBB2CJVNX6RZDQVQBMNS8""}]"
