run_id,created_at,benchmark,prompt_template_id,model,item_id,lichess_puzzle_id,rating,rating_band,rating_bucket,primary_theme,status,solved,first_move_correct,exact_player_line,player_move_prefix_score,expected_full_line,expected_player_line,submitted_player_moves,revealed_opponent_moves,invalid_turn_index,error_message,latency_ms_total,input_tokens,output_tokens,total_tokens,reasoning_effort,max_output_tokens,reasoning_tokens,cost_usd,served_provider,generation_id,turns_json
20260605T202431Z-2dab17f1,2026-06-05T20:24:31.515Z,lichess-puzzles-v1,uci-or-san-single-move-v3,xai/grok-4.1-fast-non-reasoning,lichess:rYFDJ,rYFDJ,962,under-1200,0900-0999,bishopEndgame,wrong_move,false,false,false,0,"[""c2c4"",""b5c4"",""b3c4"",""d5c4"",""e3e4""]","[""c2c4"",""b3c4"",""e3e4""]","[""h4h5""]",[],0,,910,805,4,809,,,0,0.0000634,vertex,gen_01KTCQAWVPCPBDF4231PKDQYWC,"[{""turnIndex"":0,""prompt"":""Position FEN: 8/p5pp/5p2/1p1k4/4b1PB/1P2K3/P1P4P/8 w - - 0 31\nFind the best move for the side to move.\nOutput contract:\nReturn exactly one legal chess move for the side to move.\nAccepted notation: UCI such as e2e4 or e7e8q, or SAN such as Nf3, Rxa6, O-O, or exd8=Q+.\nYour entire response must be only that move token. No explanation, labels, move numbers, code block, or extra text."",""rawAnswer"":""h4h5"",""parsedMove"":""h4h5"",""expectedMove"":""c2c4"",""result"":""wrong_move"",""errorMessage"":"""",""reasoning"":[],""usage"":{""inputTokens"":805,""outputTokens"":4,""totalTokens"":809,""reasoningTokens"":0,""raw"":{""prompt_tokens"":805,""completion_tokens"":4,""total_tokens"":809,""prompt_tokens_details"":{""cached_tokens"":664},""completion_tokens_details"":{""reasoning_tokens"":0,""accepted_prediction_tokens"":0,""rejected_prediction_tokens"":0},""cost_in_usd_ticks"":0,""extra_properties"":{""google"":{""traffic_type"":""ON_DEMAND""}},""num_sources_used"":0}},""costUsd"":0.0000634,""servedProvider"":""vertex"",""generationId"":""gen_01KTCQAWVPCPBDF4231PKDQYWC""}]"
20260605T202431Z-2dab17f1,2026-06-05T20:24:32.430Z,lichess-puzzles-v1,uci-or-san-single-move-v3,xai/grok-4.1-fast-non-reasoning,lichess:xcx9M,xcx9M,952,under-1200,0900-0999,advancedPawn,invalid_format,false,false,false,0,"[""f2f1"",""a1f1"",""e2f1q""]","[""f2f1"",""e2f1q""]",[],[],0,,531,805,4,809,,,0,0.0000628,vertex,gen_01KTCQAXJ06KVE33EMR039Y8W2,"[{""turnIndex"":0,""prompt"":""Position FEN: r1b5/p5k1/1b5p/4R1pQ/1Np5/8/PPP1prPP/R6K b - - 0 24\nFind the best move for the side to move.\nOutput contract:\nReturn exactly one legal chess move for the side to move.\nAccepted notation: UCI such as e2e4 or e7e8q, or SAN such as Nf3, Rxa6, O-O, or exd8=Q+.\nYour entire response must be only that move token. No explanation, labels, move numbers, code block, or extra text."",""rawAnswer"":""Qh2+"",""parsedMove"":"""",""expectedMove"":""f2f1"",""result"":""invalid_format"",""errorMessage"":"""",""reasoning"":[],""usage"":{""inputTokens"":805,""outputTokens"":4,""totalTokens"":809,""reasoningTokens"":0,""raw"":{""prompt_tokens"":805,""completion_tokens"":4,""total_tokens"":809,""prompt_tokens_details"":{""cached_tokens"":668},""completion_tokens_details"":{""reasoning_tokens"":0,""accepted_prediction_tokens"":0,""rejected_prediction_tokens"":0},""cost_in_usd_ticks"":0,""extra_properties"":{""google"":{""traffic_type"":""ON_DEMAND""}},""num_sources_used"":0}},""costUsd"":0.0000628,""servedProvider"":""vertex"",""generationId"":""gen_01KTCQAXJ06KVE33EMR039Y8W2""}]"
20260605T202431Z-2dab17f1,2026-06-05T20:24:32.964Z,lichess-puzzles-v1,uci-or-san-single-move-v3,xai/grok-4.1-fast-non-reasoning,lichess:wAIrQ,wAIrQ,1541,1200-1599,1500-1599,fork,invalid_format,false,false,false,0,"[""h7g7"",""e7g7"",""a2e6"",""d7e6"",""f6e6""]","[""h7g7"",""a2e6"",""f6e6""]",[],[],0,,702,810,4,814,,,0,0.00006365,vertex,gen_01KTCQAY2DNJTZ6F89JH5N8HTV,"[{""turnIndex"":0,""prompt"":""Position FEN: 6k1/3qr1rR/2p1pQb1/ppP1Pp2/3P4/P1P5/B5PP/6K1 w - - 0 36\nFind the best move for the side to move.\nOutput contract:\nReturn exactly one legal chess move for the side to move.\nAccepted notation: UCI such as e2e4 or e7e8q, or SAN such as Nf3, Rxa6, O-O, or exd8=Q+.\nYour entire response must be only that move token. No explanation, labels, move numbers, code block, or extra text."",""rawAnswer"":""Qh5+"",""parsedMove"":"""",""expectedMove"":""h7g7"",""result"":""invalid_format"",""errorMessage"":"""",""reasoning"":[],""usage"":{""inputTokens"":810,""outputTokens"":4,""totalTokens"":814,""reasoningTokens"":0,""raw"":{""prompt_tokens"":810,""completion_tokens"":4,""total_tokens"":814,""prompt_tokens_details"":{""cached_tokens"":669},""completion_tokens_details"":{""reasoning_tokens"":0,""accepted_prediction_tokens"":0,""rejected_prediction_tokens"":0},""cost_in_usd_ticks"":0,""extra_properties"":{""google"":{""traffic_type"":""ON_DEMAND""}},""num_sources_used"":0}},""costUsd"":0.00006365,""servedProvider"":""vertex"",""generationId"":""gen_01KTCQAY2DNJTZ6F89JH5N8HTV""}]"
20260605T202431Z-2dab17f1,2026-06-05T20:24:33.674Z,lichess-puzzles-v1,uci-or-san-single-move-v3,xai/grok-4.1-fast-non-reasoning,lichess:Aw4iZ,Aw4iZ,1362,1200-1599,1300-1399,intermezzo,wrong_move,false,false,false,0,"[""h5d1"",""f1d1"",""c6d4""]","[""h5d1"",""c6d4""]","[""h5h2""]",[],0,,1574,808,4,812,,,0,0.00006295,vertex,gen_01KTCQAYRK9QPBR0YEH3F66TPB,"[{""turnIndex"":0,""prompt"":""Position FEN: r1b1kbnr/pp3ppp/2n1p3/7q/2BN4/8/PPPN1PPP/R1BQ1RK1 b kq - 0 8\nFind the best move for the side to move.\nOutput contract:\nReturn exactly one legal chess move for the side to move.\nAccepted notation: UCI such as e2e4 or e7e8q, or SAN such as Nf3, Rxa6, O-O, or exd8=Q+.\nYour entire response must be only that move token. No explanation, labels, move numbers, code block, or extra text."",""rawAnswer"":""Qxh2#"",""parsedMove"":""h5h2"",""expectedMove"":""h5d1"",""result"":""wrong_move"",""errorMessage"":"""",""reasoning"":[],""usage"":{""inputTokens"":808,""outputTokens"":4,""totalTokens"":812,""reasoningTokens"":0,""raw"":{""prompt_tokens"":808,""completion_tokens"":4,""total_tokens"":812,""prompt_tokens_details"":{""cached_tokens"":671},""completion_tokens_details"":{""reasoning_tokens"":0,""accepted_prediction_tokens"":0,""rejected_prediction_tokens"":0},""cost_in_usd_ticks"":0,""extra_properties"":{""google"":{""traffic_type"":""ON_DEMAND""}},""num_sources_used"":0}},""costUsd"":0.00006295,""servedProvider"":""vertex"",""generationId"":""gen_01KTCQAYRK9QPBR0YEH3F66TPB""}]"
20260605T202431Z-2dab17f1,2026-06-05T20:24:35.252Z,lichess-puzzles-v1,uci-or-san-single-move-v3,xai/grok-4.1-fast-non-reasoning,lichess:xxsYf,xxsYf,1975,1600-1999,1900-1999,attraction,invalid_format,false,false,false,0,"[""b8b5"",""a5b5"",""c7c6"",""d5e4"",""c6b5"",""e4f5"",""d7e8"",""f5g6"",""e8f8""]","[""b8b5"",""c7c6"",""c6b5"",""d7e8"",""e8f8""]",[],[],0,,1270,805,3,808,,,0,0.00006215,vertex,gen_01KTCQB09X6G506E8NB8Z2K53M,"[{""turnIndex"":0,""prompt"":""Position FEN: 1r6/2pk4/3p1P2/RP1Kp1p1/6P1/6P1/8/8 b - - 0 46\nFind the best move for the side to move.\nOutput contract:\nReturn exactly one legal chess move for the side to move.\nAccepted notation: UCI such as e2e4 or e7e8q, or SAN such as Nf3, Rxa6, O-O, or exd8=Q+.\nYour entire response must be only that move token. No explanation, labels, move numbers, code block, or extra text."",""rawAnswer"":""Rxa5"",""parsedMove"":"""",""expectedMove"":""b8b5"",""result"":""invalid_format"",""errorMessage"":"""",""reasoning"":[],""usage"":{""inputTokens"":805,""outputTokens"":3,""totalTokens"":808,""reasoningTokens"":0,""raw"":{""prompt_tokens"":805,""completion_tokens"":3,""total_tokens"":808,""prompt_tokens_details"":{""cached_tokens"":669},""completion_tokens_details"":{""reasoning_tokens"":0,""accepted_prediction_tokens"":0,""rejected_prediction_tokens"":0},""cost_in_usd_ticks"":0,""extra_properties"":{""google"":{""traffic_type"":""ON_DEMAND""}},""num_sources_used"":0}},""costUsd"":0.00006215,""servedProvider"":""vertex"",""generationId"":""gen_01KTCQB09X6G506E8NB8Z2K53M""}]"
20260605T202431Z-2dab17f1,2026-06-05T20:24:36.526Z,lichess-puzzles-v1,uci-or-san-single-move-v3,xai/grok-4.1-fast-non-reasoning,lichess:6RXXg,6RXXg,1704,1600-1999,1700-1799,mate,error,false,false,false,0,"[""b2b4"",""c5c4"",""h6c6""]","[""b2b4"",""h6c6""]",[],[],0,Service temporarily unavailable. Please try again shortly.,0,,,,,,,,,,"[{""turnIndex"":0,""prompt"":""Position FEN: 4r3/8/p6R/1pkp4/8/2P3r1/PP1K1p2/4n3 w - - 0 44\nFind the best move for the side to move.\nOutput contract:\nReturn exactly one legal chess move for the side to move.\nAccepted notation: UCI such as e2e4 or e7e8q, or SAN such as Nf3, Rxa6, O-O, or exd8=Q+.\nYour entire response must be only that move token. No explanation, labels, move numbers, code block, or extra text."",""rawAnswer"":"""",""parsedMove"":"""",""expectedMove"":""b2b4"",""result"":""error"",""errorMessage"":""Service temporarily unavailable. Please try again shortly.""}]"
20260605T202431Z-2dab17f1,2026-06-05T20:24:37.026Z,lichess-puzzles-v1,uci-or-san-single-move-v3,xai/grok-4.1-fast-non-reasoning,lichess:bHLqd,bHLqd,2177,2000-2399,2100-2199,advancedPawn,invalid_format,false,false,false,0,"[""e6d7"",""e8e1"",""c1d2""]","[""e6d7"",""c1d2""]",[],[],0,,1264,815,4,819,,,0,0.00006435,vertex,gen_01KTCQB21JHFT0HKA5Y62EN3WH,"[{""turnIndex"":0,""prompt"":""Position FEN: 1r2r1k1/3q4/1p2P1p1/p1p3Pp/1nP5/6QN/1P6/2K1R3 w - - 0 33\nFind the best move for the side to move.\nOutput contract:\nReturn exactly one legal chess move for the side to move.\nAccepted notation: UCI such as e2e4 or e7e8q, or SAN such as Nf3, Rxa6, O-O, or exd8=Q+.\nYour entire response must be only that move token. No explanation, labels, move numbers, code block, or extra text."",""rawAnswer"":""Qh3+"",""parsedMove"":"""",""expectedMove"":""e6d7"",""result"":""invalid_format"",""errorMessage"":"""",""reasoning"":[],""usage"":{""inputTokens"":815,""outputTokens"":4,""totalTokens"":819,""reasoningTokens"":0,""raw"":{""prompt_tokens"":815,""completion_tokens"":4,""total_tokens"":819,""prompt_tokens_details"":{""cached_tokens"":671},""completion_tokens_details"":{""reasoning_tokens"":0,""accepted_prediction_tokens"":0,""rejected_prediction_tokens"":0},""cost_in_usd_ticks"":0,""extra_properties"":{""google"":{""traffic_type"":""ON_DEMAND""}},""num_sources_used"":0}},""costUsd"":0.00006435,""servedProvider"":""vertex"",""generationId"":""gen_01KTCQB21JHFT0HKA5Y62EN3WH""}]"
20260605T202431Z-2dab17f1,2026-06-05T20:24:38.293Z,lichess-puzzles-v1,uci-or-san-single-move-v3,xai/grok-4.1-fast-non-reasoning,lichess:i8DfM,i8DfM,2029,2000-2399,2000-2099,mate,invalid_format,false,false,false,0,"[""g6h7"",""g8h8"",""f1f8""]","[""g6h7"",""f1f8""]",[],[],0,,974,813,3,816,,,0,0.00006315,vertex,gen_01KTCQB3C12XTR75VKR63DJVEQ,"[{""turnIndex"":0,""prompt"":""Position FEN: 6k1/6p1/p3p1B1/1p2q1b1/7p/1P5P/P1Qr2P1/5R1K w - - 1 35\nFind the best move for the side to move.\nOutput contract:\nReturn exactly one legal chess move for the side to move.\nAccepted notation: UCI such as e2e4 or e7e8q, or SAN such as Nf3, Rxa6, O-O, or exd8=Q+.\nYour entire response must be only that move token. No explanation, labels, move numbers, code block, or extra text."",""rawAnswer"":""Qxh4"",""parsedMove"":"""",""expectedMove"":""g6h7"",""result"":""invalid_format"",""errorMessage"":"""",""reasoning"":[],""usage"":{""inputTokens"":813,""outputTokens"":3,""totalTokens"":816,""reasoningTokens"":0,""raw"":{""prompt_tokens"":813,""completion_tokens"":3,""total_tokens"":816,""prompt_tokens_details"":{""cached_tokens"":673},""completion_tokens_details"":{""reasoning_tokens"":0,""accepted_prediction_tokens"":0,""rejected_prediction_tokens"":0},""cost_in_usd_ticks"":0,""extra_properties"":{""google"":{""traffic_type"":""ON_DEMAND""}},""num_sources_used"":0}},""costUsd"":0.00006315,""servedProvider"":""vertex"",""generationId"":""gen_01KTCQB3C12XTR75VKR63DJVEQ""}]"
20260605T202431Z-2dab17f1,2026-06-05T20:24:39.270Z,lichess-puzzles-v1,uci-or-san-single-move-v3,xai/grok-4.1-fast-non-reasoning,lichess:t42fM,t42fM,2450,2400-plus,2400-2499,attraction,invalid_format,false,false,false,0,"[""c4c3"",""d2c3"",""f8c8"",""c3d2"",""c8c4""]","[""c4c3"",""f8c8"",""c8c4""]",[],[],0,,1022,818,2,820,,,0,0.00006425,vertex,gen_01KTCQB4AW2R6KG9B2NVKEKWRA,"[{""turnIndex"":0,""prompt"":""Position FEN: r4q1r/1k2bp2/4p1p1/1p1pP3/1PpP1PB1/4B2P/1Q1K4/R4R2 b - - 0 40\nFind the best move for the side to move.\nOutput contract:\nReturn exactly one legal chess move for the side to move.\nAccepted notation: UCI such as e2e4 or e7e8q, or SAN such as Nf3, Rxa6, O-O, or exd8=Q+.\nYour entire response must be only that move token. No explanation, labels, move numbers, code block, or extra text."",""rawAnswer"":""Qa5"",""parsedMove"":"""",""expectedMove"":""c4c3"",""result"":""invalid_format"",""errorMessage"":"""",""reasoning"":[],""usage"":{""inputTokens"":818,""outputTokens"":2,""totalTokens"":820,""reasoningTokens"":0,""raw"":{""prompt_tokens"":818,""completion_tokens"":2,""total_tokens"":820,""prompt_tokens_details"":{""cached_tokens"":669},""completion_tokens_details"":{""reasoning_tokens"":0,""accepted_prediction_tokens"":0,""rejected_prediction_tokens"":0},""cost_in_usd_ticks"":0,""extra_properties"":{""google"":{""traffic_type"":""ON_DEMAND""}},""num_sources_used"":0}},""costUsd"":0.00006425,""servedProvider"":""vertex"",""generationId"":""gen_01KTCQB4AW2R6KG9B2NVKEKWRA""}]"
20260605T202431Z-2dab17f1,2026-06-05T20:24:40.296Z,lichess-puzzles-v1,uci-or-san-single-move-v3,xai/grok-4.1-fast-non-reasoning,lichess:NblXJ,NblXJ,2415,2400-plus,2400-2499,advantage,error,false,false,false,0,"[""h8f8"",""h4h7"",""f8f5"",""f4g4"",""f5d5""]","[""h8f8"",""f8f5"",""f5d5""]",[],[],0,Service temporarily unavailable. Please try again shortly.,0,,,,,,,,,,"[{""turnIndex"":0,""prompt"":""Position FEN: 7R/3p3P/2p5/1pPb1p2/1P3k1r/2KB4/8/8 w - - 0 45\nFind the best move for the side to move.\nOutput contract:\nReturn exactly one legal chess move for the side to move.\nAccepted notation: UCI such as e2e4 or e7e8q, or SAN such as Nf3, Rxa6, O-O, or exd8=Q+.\nYour entire response must be only that move token. No explanation, labels, move numbers, code block, or extra text."",""rawAnswer"":"""",""parsedMove"":"""",""expectedMove"":""h8f8"",""result"":""error"",""errorMessage"":""Service temporarily unavailable. Please try again shortly.""}]"
