run_id,created_at,benchmark,prompt_template_id,model,item_id,lichess_puzzle_id,rating,rating_band,rating_bucket,primary_theme,status,solved,first_move_correct,exact_player_line,player_move_prefix_score,expected_full_line,expected_player_line,submitted_player_moves,revealed_opponent_moves,invalid_turn_index,error_message,latency_ms_total,input_tokens,output_tokens,total_tokens,reasoning_effort,max_output_tokens,reasoning_tokens,cost_usd,served_provider,generation_id,turns_json
20260606T080351Z-097b1682,2026-06-06T08:51:26.315Z,lichess-puzzles-v1,uci-or-san-single-move-v3,alibaba/qwen3-max-thinking,lichess:rYFDJ,rYFDJ,962,under-1200,0900-0999,bishopEndgame,wrong_move,false,false,false,0,"[""c2c4"",""b5c4"",""b3c4"",""d5c4"",""e3e4""]","[""c2c4"",""b3c4"",""e3e4""]","[""h4h5""]",[],0,,2122,145,4,149,model-thinking,,0,0.000198,alibaba,gen_01KTE22H3FFZQ2A48V7DDBRRJX,"[{""turnIndex"":0,""prompt"":""Position FEN: 8/p5pp/5p2/1p1k4/4b1PB/1P2K3/P1P4P/8 w - - 0 31\nFind the best move for the side to move.\nOutput contract:\nReturn exactly one legal chess move for the side to move.\nAccepted notation: UCI such as e2e4 or e7e8q, or SAN such as Nf3, Rxa6, O-O, or exd8=Q+.\nYour entire response must be only that move token. No explanation, labels, move numbers, code block, or extra text."",""rawAnswer"":""h4h5"",""parsedMove"":""h4h5"",""expectedMove"":""c2c4"",""result"":""wrong_move"",""errorMessage"":"""",""reasoning"":[],""usage"":{""inputTokens"":145,""outputTokens"":4,""totalTokens"":149,""reasoningTokens"":0,""raw"":{""prompt_tokens"":145,""completion_tokens"":4,""total_tokens"":149}},""costUsd"":0.000198,""servedProvider"":""alibaba"",""generationId"":""gen_01KTE22H3FFZQ2A48V7DDBRRJX""}]"
20260606T080351Z-097b1682,2026-06-06T08:51:28.448Z,lichess-puzzles-v1,uci-or-san-single-move-v3,alibaba/qwen3-max-thinking,lichess:xcx9M,xcx9M,952,under-1200,0900-0999,advancedPawn,invalid_format,false,true,false,0.5,"[""f2f1"",""a1f1"",""e2f1q""]","[""f2f1"",""e2f1q""]","[""f2f1""]","[""a1f1""]",1,,4428,401,8,409,model-thinking,,0,0.0005292,alibaba,gen_01KTE22MM9SNCQ1T06MY6ZCEG9,"[{""turnIndex"":0,""prompt"":""Position FEN: r1b5/p5k1/1b5p/4R1pQ/1Np5/8/PPP1prPP/R6K b - - 0 24\nFind the best move for the side to move.\nOutput contract:\nReturn exactly one legal chess move for the side to move.\nAccepted notation: UCI such as e2e4 or e7e8q, or SAN such as Nf3, Rxa6, O-O, or exd8=Q+.\nYour entire response must be only that move token. No explanation, labels, move numbers, code block, or extra text."",""rawAnswer"":""Rf1+"",""parsedMove"":""f2f1"",""expectedMove"":""f2f1"",""result"":""correct"",""errorMessage"":"""",""reasoning"":[],""usage"":{""inputTokens"":146,""outputTokens"":4,""totalTokens"":150,""reasoningTokens"":0,""raw"":{""prompt_tokens"":146,""completion_tokens"":4,""total_tokens"":150}},""costUsd"":0.0001992,""servedProvider"":""alibaba"",""generationId"":""gen_01KTE22K628D3NAD032Q7MCPFS""},{""turnIndex"":1,""prompt"":""Opponent played: a1f1.\nFind the next move.\nOutput contract:\nReturn exactly one legal chess move for the side to move.\nAccepted notation: UCI such as e2e4 or e7e8q, or SAN such as Nf3, Rxa6, O-O, or exd8=Q+.\nYour entire response must be only that move token. No explanation, labels, move numbers, code block, or extra text."",""rawAnswer"":""Rxf1+"",""parsedMove"":"""",""expectedMove"":""e2f1q"",""result"":""invalid_format"",""errorMessage"":"""",""reasoning"":[],""usage"":{""inputTokens"":255,""outputTokens"":4,""totalTokens"":259,""reasoningTokens"":0,""raw"":{""prompt_tokens"":255,""completion_tokens"":4,""total_tokens"":259}},""costUsd"":0.00033,""servedProvider"":""alibaba"",""generationId"":""gen_01KTE22MM9SNCQ1T06MY6ZCEG9""}]"
20260606T080351Z-097b1682,2026-06-06T08:51:32.885Z,lichess-puzzles-v1,uci-or-san-single-move-v3,alibaba/qwen3-max-thinking,lichess:wAIrQ,wAIrQ,1541,1200-1599,1500-1599,fork,wrong_move,false,false,false,0,"[""h7g7"",""e7g7"",""a2e6"",""d7e6"",""f6e6""]","[""h7g7"",""a2e6"",""f6e6""]","[""f6g6""]",[],0,,2489,151,4,155,model-thinking,,0,0.0002052,alibaba,gen_01KTE22QGM14XH0PBNB516PF21,"[{""turnIndex"":0,""prompt"":""Position FEN: 6k1/3qr1rR/2p1pQb1/ppP1Pp2/3P4/P1P5/B5PP/6K1 w - - 0 36\nFind the best move for the side to move.\nOutput contract:\nReturn exactly one legal chess move for the side to move.\nAccepted notation: UCI such as e2e4 or e7e8q, or SAN such as Nf3, Rxa6, O-O, or exd8=Q+.\nYour entire response must be only that move token. No explanation, labels, move numbers, code block, or extra text."",""rawAnswer"":""Qxg6"",""parsedMove"":""f6g6"",""expectedMove"":""h7g7"",""result"":""wrong_move"",""errorMessage"":"""",""reasoning"":[],""usage"":{""inputTokens"":151,""outputTokens"":4,""totalTokens"":155,""reasoningTokens"":0,""raw"":{""prompt_tokens"":151,""completion_tokens"":4,""total_tokens"":155}},""costUsd"":0.0002052,""servedProvider"":""alibaba"",""generationId"":""gen_01KTE22QGM14XH0PBNB516PF21""}]"
20260606T080351Z-097b1682,2026-06-06T08:51:35.383Z,lichess-puzzles-v1,uci-or-san-single-move-v3,alibaba/qwen3-max-thinking,lichess:Aw4iZ,Aw4iZ,1362,1200-1599,1300-1399,intermezzo,invalid_format,false,false,false,0,"[""h5d1"",""f1d1"",""c6d4""]","[""h5d1"",""c6d4""]",[],[],0,,992,150,3,153,model-thinking,,0,0.000198,alibaba,gen_01KTE22SYKAM6HTVY6P7AWDKTK,"[{""turnIndex"":0,""prompt"":""Position FEN: r1b1kbnr/pp3ppp/2n1p3/7q/2BN4/8/PPPN1PPP/R1BQ1RK1 b kq - 0 8\nFind the best move for the side to move.\nOutput contract:\nReturn exactly one legal chess move for the side to move.\nAccepted notation: UCI such as e2e4 or e7e8q, or SAN such as Nf3, Rxa6, O-O, or exd8=Q+.\nYour entire response must be only that move token. No explanation, labels, move numbers, code block, or extra text."",""rawAnswer"":""Bxd4"",""parsedMove"":"""",""expectedMove"":""h5d1"",""result"":""invalid_format"",""errorMessage"":"""",""reasoning"":[],""usage"":{""inputTokens"":150,""outputTokens"":3,""totalTokens"":153,""reasoningTokens"":0,""raw"":{""prompt_tokens"":150,""completion_tokens"":3,""total_tokens"":153}},""costUsd"":0.000198,""servedProvider"":""alibaba"",""generationId"":""gen_01KTE22SYKAM6HTVY6P7AWDKTK""}]"
20260606T080351Z-097b1682,2026-06-06T08:51:36.386Z,lichess-puzzles-v1,uci-or-san-single-move-v3,alibaba/qwen3-max-thinking,lichess:xxsYf,xxsYf,1975,1600-1999,1900-1999,attraction,wrong_move,false,false,false,0,"[""b8b5"",""a5b5"",""c7c6"",""d5e4"",""c6b5"",""e4f5"",""d7e8"",""f5g6"",""e8f8""]","[""b8b5"",""c7c6"",""c6b5"",""d7e8"",""e8f8""]","[""d6d5""]",[],0,,2173,146,4,150,model-thinking,,0,0.0001992,alibaba,gen_01KTE22TY712492A3KJ243013B,"[{""turnIndex"":0,""prompt"":""Position FEN: 1r6/2pk4/3p1P2/RP1Kp1p1/6P1/6P1/8/8 b - - 0 46\nFind the best move for the side to move.\nOutput contract:\nReturn exactly one legal chess move for the side to move.\nAccepted notation: UCI such as e2e4 or e7e8q, or SAN such as Nf3, Rxa6, O-O, or exd8=Q+.\nYour entire response must be only that move token. No explanation, labels, move numbers, code block, or extra text."",""rawAnswer"":""d6d5"",""parsedMove"":""d6d5"",""expectedMove"":""b8b5"",""result"":""wrong_move"",""errorMessage"":"""",""reasoning"":[],""usage"":{""inputTokens"":146,""outputTokens"":4,""totalTokens"":150,""reasoningTokens"":0,""raw"":{""prompt_tokens"":146,""completion_tokens"":4,""total_tokens"":150}},""costUsd"":0.0001992,""servedProvider"":""alibaba"",""generationId"":""gen_01KTE22TY712492A3KJ243013B""}]"
20260606T080351Z-097b1682,2026-06-06T08:51:38.569Z,lichess-puzzles-v1,uci-or-san-single-move-v3,alibaba/qwen3-max-thinking,lichess:6RXXg,6RXXg,1704,1600-1999,1700-1799,mate,wrong_move,false,false,false,0,"[""b2b4"",""c5c4"",""h6c6""]","[""b2b4"",""h6c6""]","[""h6a6""]",[],0,,953,145,3,148,model-thinking,,0,0.000192,alibaba,gen_01KTE22X1VJMXNCF1DNCYPNZSN,"[{""turnIndex"":0,""prompt"":""Position FEN: 4r3/8/p6R/1pkp4/8/2P3r1/PP1K1p2/4n3 w - - 0 44\nFind the best move for the side to move.\nOutput contract:\nReturn exactly one legal chess move for the side to move.\nAccepted notation: UCI such as e2e4 or e7e8q, or SAN such as Nf3, Rxa6, O-O, or exd8=Q+.\nYour entire response must be only that move token. No explanation, labels, move numbers, code block, or extra text."",""rawAnswer"":""Rxa6"",""parsedMove"":""h6a6"",""expectedMove"":""b2b4"",""result"":""wrong_move"",""errorMessage"":"""",""reasoning"":[],""usage"":{""inputTokens"":145,""outputTokens"":3,""totalTokens"":148,""reasoningTokens"":0,""raw"":{""prompt_tokens"":145,""completion_tokens"":3,""total_tokens"":148}},""costUsd"":0.000192,""servedProvider"":""alibaba"",""generationId"":""gen_01KTE22X1VJMXNCF1DNCYPNZSN""}]"
20260606T080351Z-097b1682,2026-06-06T08:51:39.532Z,lichess-puzzles-v1,uci-or-san-single-move-v3,alibaba/qwen3-max-thinking,lichess:bHLqd,bHLqd,2177,2000-2399,2100-2199,advancedPawn,invalid_format,false,false,false,0,"[""e6d7"",""e8e1"",""c1d2""]","[""e6d7"",""c1d2""]",[],[],0,,1949,155,4,159,model-thinking,,0,0.00021,alibaba,gen_01KTE22Y0ANPD7MCG1BZ62H15G,"[{""turnIndex"":0,""prompt"":""Position FEN: 1r2r1k1/3q4/1p2P1p1/p1p3Pp/1nP5/6QN/1P6/2K1R3 w - - 0 33\nFind the best move for the side to move.\nOutput contract:\nReturn exactly one legal chess move for the side to move.\nAccepted notation: UCI such as e2e4 or e7e8q, or SAN such as Nf3, Rxa6, O-O, or exd8=Q+.\nYour entire response must be only that move token. No explanation, labels, move numbers, code block, or extra text."",""rawAnswer"":""Rxe8+"",""parsedMove"":"""",""expectedMove"":""e6d7"",""result"":""invalid_format"",""errorMessage"":"""",""reasoning"":[],""usage"":{""inputTokens"":155,""outputTokens"":4,""totalTokens"":159,""reasoningTokens"":0,""raw"":{""prompt_tokens"":155,""completion_tokens"":4,""total_tokens"":159}},""costUsd"":0.00021,""servedProvider"":""alibaba"",""generationId"":""gen_01KTE22Y0ANPD7MCG1BZ62H15G""}]"
20260606T080351Z-097b1682,2026-06-06T08:51:41.492Z,lichess-puzzles-v1,uci-or-san-single-move-v3,alibaba/qwen3-max-thinking,lichess:i8DfM,i8DfM,2029,2000-2399,2000-2099,mate,invalid_format,false,false,false,0,"[""g6h7"",""g8h8"",""f1f8""]","[""g6h7"",""f1f8""]",[],[],0,,2122,154,4,158,model-thinking,,0,0.0002088,alibaba,gen_01KTE22ZZP8HHZ4S70BHM4HKS3,"[{""turnIndex"":0,""prompt"":""Position FEN: 6k1/6p1/p3p1B1/1p2q1b1/7p/1P5P/P1Qr2P1/5R1K w - - 1 35\nFind the best move for the side to move.\nOutput contract:\nReturn exactly one legal chess move for the side to move.\nAccepted notation: UCI such as e2e4 or e7e8q, or SAN such as Nf3, Rxa6, O-O, or exd8=Q+.\nYour entire response must be only that move token. No explanation, labels, move numbers, code block, or extra text."",""rawAnswer"":""Rxf8+"",""parsedMove"":"""",""expectedMove"":""g6h7"",""result"":""invalid_format"",""errorMessage"":"""",""reasoning"":[],""usage"":{""inputTokens"":154,""outputTokens"":4,""totalTokens"":158,""reasoningTokens"":0,""raw"":{""prompt_tokens"":154,""completion_tokens"":4,""total_tokens"":158}},""costUsd"":0.0002088,""servedProvider"":""alibaba"",""generationId"":""gen_01KTE22ZZP8HHZ4S70BHM4HKS3""}]"
20260606T080351Z-097b1682,2026-06-06T08:51:43.625Z,lichess-puzzles-v1,uci-or-san-single-move-v3,alibaba/qwen3-max-thinking,lichess:t42fM,t42fM,2450,2400-plus,2400-2499,attraction,invalid_format,false,false,false,0,"[""c4c3"",""d2c3"",""f8c8"",""c3d2"",""c8c4""]","[""c4c3"",""f8c8"",""c8c4""]",[],[],0,,2230,159,3,162,model-thinking,,0,0.0002088,alibaba,gen_01KTE2320RV5C12G0TC9DJKE5W,"[{""turnIndex"":0,""prompt"":""Position FEN: r4q1r/1k2bp2/4p1p1/1p1pP3/1PpP1PB1/4B2P/1Q1K4/R4R2 b - - 0 40\nFind the best move for the side to move.\nOutput contract:\nReturn exactly one legal chess move for the side to move.\nAccepted notation: UCI such as e2e4 or e7e8q, or SAN such as Nf3, Rxa6, O-O, or exd8=Q+.\nYour entire response must be only that move token. No explanation, labels, move numbers, code block, or extra text."",""rawAnswer"":""Rxf4"",""parsedMove"":"""",""expectedMove"":""c4c3"",""result"":""invalid_format"",""errorMessage"":"""",""reasoning"":[],""usage"":{""inputTokens"":159,""outputTokens"":3,""totalTokens"":162,""reasoningTokens"":0,""raw"":{""prompt_tokens"":159,""completion_tokens"":3,""total_tokens"":162}},""costUsd"":0.0002088,""servedProvider"":""alibaba"",""generationId"":""gen_01KTE2320RV5C12G0TC9DJKE5W""}]"
20260606T080351Z-097b1682,2026-06-06T08:51:45.865Z,lichess-puzzles-v1,uci-or-san-single-move-v3,alibaba/qwen3-max-thinking,lichess:NblXJ,NblXJ,2415,2400-plus,2400-2499,advantage,invalid_format,false,true,false,0.3333333333333333,"[""h8f8"",""h4h7"",""f8f5"",""f4g4"",""f5d5""]","[""h8f8"",""f8f5"",""f5d5""]","[""h8f8""]","[""h4h7""]",1,,2859,402,6,408,model-thinking,,0,0.0005184,alibaba,gen_01KTE23656TA2AJQFW9X6CMK6E,"[{""turnIndex"":0,""prompt"":""Position FEN: 7R/3p3P/2p5/1pPb1p2/1P3k1r/2KB4/8/8 w - - 0 45\nFind the best move for the side to move.\nOutput contract:\nReturn exactly one legal chess move for the side to move.\nAccepted notation: UCI such as e2e4 or e7e8q, or SAN such as Nf3, Rxa6, O-O, or exd8=Q+.\nYour entire response must be only that move token. No explanation, labels, move numbers, code block, or extra text."",""rawAnswer"":""Rf8"",""parsedMove"":""h8f8"",""expectedMove"":""h8f8"",""result"":""correct"",""errorMessage"":"""",""reasoning"":[],""usage"":{""inputTokens"":147,""outputTokens"":3,""totalTokens"":150,""reasoningTokens"":0,""raw"":{""prompt_tokens"":147,""completion_tokens"":3,""total_tokens"":150}},""costUsd"":0.0001944,""servedProvider"":""alibaba"",""generationId"":""gen_01KTE2346VDP4J639YMFD93QY2""},{""turnIndex"":1,""prompt"":""Opponent played: h4h7.\nFind the next move.\nOutput contract:\nReturn exactly one legal chess move for the side to move.\nAccepted notation: UCI such as e2e4 or e7e8q, or SAN such as Nf3, Rxa6, O-O, or exd8=Q+.\nYour entire response must be only that move token. No explanation, labels, move numbers, code block, or extra text."",""rawAnswer"":""Rf8"",""parsedMove"":"""",""expectedMove"":""f8f5"",""result"":""invalid_format"",""errorMessage"":"""",""reasoning"":[],""usage"":{""inputTokens"":255,""outputTokens"":3,""totalTokens"":258,""reasoningTokens"":0,""raw"":{""prompt_tokens"":255,""completion_tokens"":3,""total_tokens"":258}},""costUsd"":0.000324,""servedProvider"":""alibaba"",""generationId"":""gen_01KTE23656TA2AJQFW9X6CMK6E""}]"
