run_id,created_at,benchmark,prompt_template_id,model,item_id,lichess_puzzle_id,rating,rating_band,rating_bucket,primary_theme,status,solved,first_move_correct,exact_player_line,player_move_prefix_score,expected_full_line,expected_player_line,submitted_player_moves,revealed_opponent_moves,invalid_turn_index,error_message,latency_ms_total,input_tokens,output_tokens,total_tokens,reasoning_effort,max_output_tokens,reasoning_tokens,cost_usd,served_provider,generation_id,turns_json
20260606T074128Z-ad537200,2026-06-06T07:41:28.254Z,lichess-puzzles-v1,uci-or-san-single-move-v3,deepseek/deepseek-v4-flash,lichess:rYFDJ,rYFDJ,962,under-1200,0900-0999,bishopEndgame,wrong_move,false,false,false,0,"[""c2c4"",""b5c4"",""b3c4"",""d5c4"",""e3e4""]","[""c2c4"",""b3c4"",""e3e4""]","[""e3d2""]",[],0,,1272,140,3,143,none,64,0,0.0000028784,deepseek,gen_01KTDY2DZ8X0YSKWNA3RN06KD7,"[{""turnIndex"":0,""prompt"":""Position FEN: 8/p5pp/5p2/1p1k4/4b1PB/1P2K3/P1P4P/8 w - - 0 31\nFind the best move for the side to move.\nOutput contract:\nReturn exactly one legal chess move for the side to move.\nAccepted notation: UCI such as e2e4 or e7e8q, or SAN such as Nf3, Rxa6, O-O, or exd8=Q+.\nYour entire response must be only that move token. No explanation, labels, move numbers, code block, or extra text."",""rawAnswer"":""Kd2"",""parsedMove"":""e3d2"",""expectedMove"":""c2c4"",""result"":""wrong_move"",""errorMessage"":"""",""reasoning"":[],""usage"":{""inputTokens"":140,""outputTokens"":3,""totalTokens"":143,""reasoningTokens"":0,""raw"":{""prompt_tokens"":140,""completion_tokens"":3,""prompt_cache_hit_tokens"":128,""prompt_cache_miss_tokens"":12,""total_tokens"":143}},""costUsd"":0.0000028784,""servedProvider"":""deepseek"",""generationId"":""gen_01KTDY2DZ8X0YSKWNA3RN06KD7""}]"
20260606T074128Z-ad537200,2026-06-06T07:41:29.533Z,lichess-puzzles-v1,uci-or-san-single-move-v3,deepseek/deepseek-v4-flash,lichess:xcx9M,xcx9M,952,under-1200,0900-0999,advancedPawn,wrong_move,false,false,false,0,"[""f2f1"",""a1f1"",""e2f1q""]","[""f2f1"",""e2f1q""]","[""f2e1q""]",[],0,,1082,141,5,146,none,64,0,0.0000035784,deepseek,gen_01KTDY2EZBVMZ3MH24TETC3WRQ,"[{""turnIndex"":0,""prompt"":""Position FEN: r1b5/p5k1/1b5p/4R1pQ/1Np5/8/PPP1prPP/R6K b - - 0 24\nFind the best move for the side to move.\nOutput contract:\nReturn exactly one legal chess move for the side to move.\nAccepted notation: UCI such as e2e4 or e7e8q, or SAN such as Nf3, Rxa6, O-O, or exd8=Q+.\nYour entire response must be only that move token. No explanation, labels, move numbers, code block, or extra text."",""rawAnswer"":""f2e1q"",""parsedMove"":""f2e1q"",""expectedMove"":""f2f1"",""result"":""wrong_move"",""errorMessage"":"""",""reasoning"":[],""usage"":{""inputTokens"":141,""outputTokens"":5,""totalTokens"":146,""reasoningTokens"":0,""raw"":{""prompt_tokens"":141,""completion_tokens"":5,""prompt_cache_hit_tokens"":128,""prompt_cache_miss_tokens"":13,""total_tokens"":146}},""costUsd"":0.0000035784,""servedProvider"":""deepseek"",""generationId"":""gen_01KTDY2EZBVMZ3MH24TETC3WRQ""}]"
20260606T074128Z-ad537200,2026-06-06T07:41:30.618Z,lichess-puzzles-v1,uci-or-san-single-move-v3,deepseek/deepseek-v4-flash,lichess:wAIrQ,wAIrQ,1541,1200-1599,1500-1599,fork,wrong_move,false,false,false,0,"[""h7g7"",""e7g7"",""a2e6"",""d7e6"",""f6e6""]","[""h7g7"",""a2e6"",""f6e6""]","[""f6f7""]",[],0,,1026,147,4,151,none,64,0,0.0000041384,deepseek,gen_01KTDY2G0F2YS4BJ8HYJPJ6418,"[{""turnIndex"":0,""prompt"":""Position FEN: 6k1/3qr1rR/2p1pQb1/ppP1Pp2/3P4/P1P5/B5PP/6K1 w - - 0 36\nFind the best move for the side to move.\nOutput contract:\nReturn exactly one legal chess move for the side to move.\nAccepted notation: UCI such as e2e4 or e7e8q, or SAN such as Nf3, Rxa6, O-O, or exd8=Q+.\nYour entire response must be only that move token. No explanation, labels, move numbers, code block, or extra text."",""rawAnswer"":""Qf7+"",""parsedMove"":""f6f7"",""expectedMove"":""h7g7"",""result"":""wrong_move"",""errorMessage"":"""",""reasoning"":[],""usage"":{""inputTokens"":147,""outputTokens"":4,""totalTokens"":151,""reasoningTokens"":0,""raw"":{""prompt_tokens"":147,""completion_tokens"":4,""prompt_cache_hit_tokens"":128,""prompt_cache_miss_tokens"":19,""total_tokens"":151}},""costUsd"":0.0000041384,""servedProvider"":""deepseek"",""generationId"":""gen_01KTDY2G0F2YS4BJ8HYJPJ6418""}]"
20260606T074128Z-ad537200,2026-06-06T07:41:31.650Z,lichess-puzzles-v1,uci-or-san-single-move-v3,deepseek/deepseek-v4-flash,lichess:Aw4iZ,Aw4iZ,1362,1200-1599,1300-1399,intermezzo,wrong_move,false,false,false,0,"[""h5d1"",""f1d1"",""c6d4""]","[""h5d1"",""c6d4""]","[""h5h2""]",[],0,,1019,147,4,151,none,64,0,0.0000041384,deepseek,gen_01KTDY2H2RE08P0KVY7QB7H43W,"[{""turnIndex"":0,""prompt"":""Position FEN: r1b1kbnr/pp3ppp/2n1p3/7q/2BN4/8/PPPN1PPP/R1BQ1RK1 b kq - 0 8\nFind the best move for the side to move.\nOutput contract:\nReturn exactly one legal chess move for the side to move.\nAccepted notation: UCI such as e2e4 or e7e8q, or SAN such as Nf3, Rxa6, O-O, or exd8=Q+.\nYour entire response must be only that move token. No explanation, labels, move numbers, code block, or extra text."",""rawAnswer"":""Qxh2+"",""parsedMove"":""h5h2"",""expectedMove"":""h5d1"",""result"":""wrong_move"",""errorMessage"":"""",""reasoning"":[],""usage"":{""inputTokens"":147,""outputTokens"":4,""totalTokens"":151,""reasoningTokens"":0,""raw"":{""prompt_tokens"":147,""completion_tokens"":4,""prompt_cache_hit_tokens"":128,""prompt_cache_miss_tokens"":19,""total_tokens"":151}},""costUsd"":0.0000041384,""servedProvider"":""deepseek"",""generationId"":""gen_01KTDY2H2RE08P0KVY7QB7H43W""}]"
20260606T074128Z-ad537200,2026-06-06T07:41:32.675Z,lichess-puzzles-v1,uci-or-san-single-move-v3,deepseek/deepseek-v4-flash,lichess:xxsYf,xxsYf,1975,1600-1999,1900-1999,attraction,invalid_format,false,false,false,0,"[""b8b5"",""a5b5"",""c7c6"",""d5e4"",""c6b5"",""e4f5"",""d7e8"",""f5g6"",""e8f8""]","[""b8b5"",""c7c6"",""c6b5"",""d7e8"",""e8f8""]",[],[],0,,1120,141,3,144,none,64,0,0.0000030184,deepseek,gen_01KTDY2J3S4YZ51NK5DKY6VEMR,"[{""turnIndex"":0,""prompt"":""Position FEN: 1r6/2pk4/3p1P2/RP1Kp1p1/6P1/6P1/8/8 b - - 0 46\nFind the best move for the side to move.\nOutput contract:\nReturn exactly one legal chess move for the side to move.\nAccepted notation: UCI such as e2e4 or e7e8q, or SAN such as Nf3, Rxa6, O-O, or exd8=Q+.\nYour entire response must be only that move token. No explanation, labels, move numbers, code block, or extra text."",""rawAnswer"":""Kd6"",""parsedMove"":"""",""expectedMove"":""b8b5"",""result"":""invalid_format"",""errorMessage"":"""",""reasoning"":[],""usage"":{""inputTokens"":141,""outputTokens"":3,""totalTokens"":144,""reasoningTokens"":0,""raw"":{""prompt_tokens"":141,""completion_tokens"":3,""prompt_cache_hit_tokens"":128,""prompt_cache_miss_tokens"":13,""total_tokens"":144}},""costUsd"":0.0000030184,""servedProvider"":""deepseek"",""generationId"":""gen_01KTDY2J3S4YZ51NK5DKY6VEMR""}]"
20260606T074128Z-ad537200,2026-06-06T07:41:33.799Z,lichess-puzzles-v1,uci-or-san-single-move-v3,deepseek/deepseek-v4-flash,lichess:6RXXg,6RXXg,1704,1600-1999,1700-1799,mate,wrong_move,false,false,false,0,"[""b2b4"",""c5c4"",""h6c6""]","[""b2b4"",""h6c6""]","[""h6a6""]",[],0,,1021,140,3,143,none,64,0,0.0000028784,deepseek,gen_01KTDY2K5YWBRWNHP4VJHHKTV0,"[{""turnIndex"":0,""prompt"":""Position FEN: 4r3/8/p6R/1pkp4/8/2P3r1/PP1K1p2/4n3 w - - 0 44\nFind the best move for the side to move.\nOutput contract:\nReturn exactly one legal chess move for the side to move.\nAccepted notation: UCI such as e2e4 or e7e8q, or SAN such as Nf3, Rxa6, O-O, or exd8=Q+.\nYour entire response must be only that move token. No explanation, labels, move numbers, code block, or extra text."",""rawAnswer"":""Rxa6"",""parsedMove"":""h6a6"",""expectedMove"":""b2b4"",""result"":""wrong_move"",""errorMessage"":"""",""reasoning"":[],""usage"":{""inputTokens"":140,""outputTokens"":3,""totalTokens"":143,""reasoningTokens"":0,""raw"":{""prompt_tokens"":140,""completion_tokens"":3,""prompt_cache_hit_tokens"":128,""prompt_cache_miss_tokens"":12,""total_tokens"":143}},""costUsd"":0.0000028784,""servedProvider"":""deepseek"",""generationId"":""gen_01KTDY2K5YWBRWNHP4VJHHKTV0""}]"
20260606T074128Z-ad537200,2026-06-06T07:41:34.824Z,lichess-puzzles-v1,uci-or-san-single-move-v3,deepseek/deepseek-v4-flash,lichess:bHLqd,bHLqd,2177,2000-2399,2100-2199,advancedPawn,invalid_format,false,false,false,0,"[""e6d7"",""e8e1"",""c1d2""]","[""e6d7"",""c1d2""]",[],[],0,,1225,152,5,157,none,64,0,0.0000051184,deepseek,gen_01KTDY2M5T6R918ZKC3WYW2Y39,"[{""turnIndex"":0,""prompt"":""Position FEN: 1r2r1k1/3q4/1p2P1p1/p1p3Pp/1nP5/6QN/1P6/2K1R3 w - - 0 33\nFind the best move for the side to move.\nOutput contract:\nReturn exactly one legal chess move for the side to move.\nAccepted notation: UCI such as e2e4 or e7e8q, or SAN such as Nf3, Rxa6, O-O, or exd8=Q+.\nYour entire response must be only that move token. No explanation, labels, move numbers, code block, or extra text."",""rawAnswer"":""e1e8+"",""parsedMove"":"""",""expectedMove"":""e6d7"",""result"":""invalid_format"",""errorMessage"":"""",""reasoning"":[],""usage"":{""inputTokens"":152,""outputTokens"":5,""totalTokens"":157,""reasoningTokens"":0,""raw"":{""prompt_tokens"":152,""completion_tokens"":5,""prompt_cache_hit_tokens"":128,""prompt_cache_miss_tokens"":24,""total_tokens"":157}},""costUsd"":0.0000051184,""servedProvider"":""deepseek"",""generationId"":""gen_01KTDY2M5T6R918ZKC3WYW2Y39""}]"
20260606T074128Z-ad537200,2026-06-06T07:41:36.055Z,lichess-puzzles-v1,uci-or-san-single-move-v3,deepseek/deepseek-v4-flash,lichess:i8DfM,i8DfM,2029,2000-2399,2000-2099,mate,invalid_format,false,false,false,0,"[""g6h7"",""g8h8"",""f1f8""]","[""g6h7"",""f1f8""]",[],[],0,,815,149,4,153,none,64,0,0.0000044184,deepseek,gen_01KTDY2NCEAF8DA6DMTG69NW5S,"[{""turnIndex"":0,""prompt"":""Position FEN: 6k1/6p1/p3p1B1/1p2q1b1/7p/1P5P/P1Qr2P1/5R1K w - - 1 35\nFind the best move for the side to move.\nOutput contract:\nReturn exactly one legal chess move for the side to move.\nAccepted notation: UCI such as e2e4 or e7e8q, or SAN such as Nf3, Rxa6, O-O, or exd8=Q+.\nYour entire response must be only that move token. No explanation, labels, move numbers, code block, or extra text."",""rawAnswer"":""Qxh7+"",""parsedMove"":"""",""expectedMove"":""g6h7"",""result"":""invalid_format"",""errorMessage"":"""",""reasoning"":[],""usage"":{""inputTokens"":149,""outputTokens"":4,""totalTokens"":153,""reasoningTokens"":0,""raw"":{""prompt_tokens"":149,""completion_tokens"":4,""prompt_cache_hit_tokens"":128,""prompt_cache_miss_tokens"":21,""total_tokens"":153}},""costUsd"":0.0000044184,""servedProvider"":""deepseek"",""generationId"":""gen_01KTDY2NCEAF8DA6DMTG69NW5S""}]"
20260606T074128Z-ad537200,2026-06-06T07:41:36.875Z,lichess-puzzles-v1,uci-or-san-single-move-v3,deepseek/deepseek-v4-flash,lichess:t42fM,t42fM,2450,2400-plus,2400-2499,attraction,wrong_move,false,false,false,0,"[""c4c3"",""d2c3"",""f8c8"",""c3d2"",""c8c4""]","[""c4c3"",""f8c8"",""c8c4""]","[""a8c8""]",[],0,,1040,154,3,157,none,64,0,0.0000048384,deepseek,gen_01KTDY2P60QA3FPY2FYRGMWF2X,"[{""turnIndex"":0,""prompt"":""Position FEN: r4q1r/1k2bp2/4p1p1/1p1pP3/1PpP1PB1/4B2P/1Q1K4/R4R2 b - - 0 40\nFind the best move for the side to move.\nOutput contract:\nReturn exactly one legal chess move for the side to move.\nAccepted notation: UCI such as e2e4 or e7e8q, or SAN such as Nf3, Rxa6, O-O, or exd8=Q+.\nYour entire response must be only that move token. No explanation, labels, move numbers, code block, or extra text."",""rawAnswer"":""Rc8"",""parsedMove"":""a8c8"",""expectedMove"":""c4c3"",""result"":""wrong_move"",""errorMessage"":"""",""reasoning"":[],""usage"":{""inputTokens"":154,""outputTokens"":3,""totalTokens"":157,""reasoningTokens"":0,""raw"":{""prompt_tokens"":154,""completion_tokens"":3,""prompt_cache_hit_tokens"":128,""prompt_cache_miss_tokens"":26,""total_tokens"":157}},""costUsd"":0.0000048384,""servedProvider"":""deepseek"",""generationId"":""gen_01KTDY2P60QA3FPY2FYRGMWF2X""}]"
20260606T074128Z-ad537200,2026-06-06T07:41:37.917Z,lichess-puzzles-v1,uci-or-san-single-move-v3,deepseek/deepseek-v4-flash,lichess:NblXJ,NblXJ,2415,2400-plus,2400-2499,advantage,invalid_format,false,false,false,0,"[""h8f8"",""h4h7"",""f8f5"",""f4g4"",""f5d5""]","[""h8f8"",""f8f5"",""f5d5""]",[],[],0,,834,141,4,145,none,64,0,0.0000032984,deepseek,gen_01KTDY2Q687S00JZVPD2B4S8JV,"[{""turnIndex"":0,""prompt"":""Position FEN: 7R/3p3P/2p5/1pPb1p2/1P3k1r/2KB4/8/8 w - - 0 45\nFind the best move for the side to move.\nOutput contract:\nReturn exactly one legal chess move for the side to move.\nAccepted notation: UCI such as e2e4 or e7e8q, or SAN such as Nf3, Rxa6, O-O, or exd8=Q+.\nYour entire response must be only that move token. No explanation, labels, move numbers, code block, or extra text."",""rawAnswer"":""Rh8h4"",""parsedMove"":"""",""expectedMove"":""h8f8"",""result"":""invalid_format"",""errorMessage"":"""",""reasoning"":[],""usage"":{""inputTokens"":141,""outputTokens"":4,""totalTokens"":145,""reasoningTokens"":0,""raw"":{""prompt_tokens"":141,""completion_tokens"":4,""prompt_cache_hit_tokens"":128,""prompt_cache_miss_tokens"":13,""total_tokens"":145}},""costUsd"":0.0000032984,""servedProvider"":""deepseek"",""generationId"":""gen_01KTDY2Q687S00JZVPD2B4S8JV""}]"
