run_id,created_at,benchmark,prompt_template_id,model,item_id,lichess_puzzle_id,rating,rating_band,rating_bucket,primary_theme,status,solved,first_move_correct,exact_player_line,player_move_prefix_score,expected_full_line,expected_player_line,submitted_player_moves,revealed_opponent_moves,invalid_turn_index,error_message,latency_ms_total,input_tokens,output_tokens,total_tokens,turns_json
20260528T210715Z-34b2fff9,2026-05-28T21:08:23.584Z,lichess-puzzles-v1,uci-next-move-v1,openai/gpt-5.4-mini,lichess:rYFDJ,rYFDJ,962,under-1200,0900-0999,bishopEndgame,wrong_move,false,false,false,0,"[""c2c4"",""b5c4"",""b3c4"",""d5c4"",""e3e4""]","[""c2c4"",""b3c4"",""e3e4""]","[""g4f5""]",[],0,,924,69,14,83,"[{""turnIndex"":0,""prompt"":""Position FEN: 8/p5pp/5p2/1p1k4/4b1PB/1P2K3/P1P4P/8 w - - 0 31\nFind the best move for the side to move.\nReply with UCI move notation only."",""rawAnswer"":""g4f5"",""parsedMove"":""g4f5"",""expectedMove"":""c2c4"",""result"":""wrong_move"",""errorMessage"":""""}]"
20260528T210715Z-34b2fff9,2026-05-28T21:08:24.508Z,lichess-puzzles-v1,uci-next-move-v1,openai/gpt-5.4-mini,lichess:xcx9M,xcx9M,952,under-1200,0900-0999,advancedPawn,wrong_move,false,false,false,0,"[""f2f1"",""a1f1"",""e2f1q""]","[""f2f1"",""e2f1q""]","[""f1f5""]",[],0,,1092,69,14,83,"[{""turnIndex"":0,""prompt"":""Position FEN: r1b5/p5k1/1b5p/4R1pQ/1Np5/8/PPP1prPP/R6K b - - 0 24\nFind the best move for the side to move.\nReply with UCI move notation only."",""rawAnswer"":""f1f5"",""parsedMove"":""f1f5"",""expectedMove"":""f2f1"",""result"":""wrong_move"",""errorMessage"":""""}]"
20260528T210715Z-34b2fff9,2026-05-28T21:08:25.599Z,lichess-puzzles-v1,uci-next-move-v1,openai/gpt-5.4-mini,lichess:wAIrQ,wAIrQ,1541,1200-1599,1500-1599,fork,wrong_move,false,false,false,0,"[""h7g7"",""e7g7"",""a2e6"",""d7e6"",""f6e6""]","[""h7g7"",""a2e6"",""f6e6""]","[""f6e5""]",[],0,,1043,76,14,90,"[{""turnIndex"":0,""prompt"":""Position FEN: 6k1/3qr1rR/2p1pQb1/ppP1Pp2/3P4/P1P5/B5PP/6K1 w - - 0 36\nFind the best move for the side to move.\nReply with UCI move notation only."",""rawAnswer"":""f6e5"",""parsedMove"":""f6e5"",""expectedMove"":""h7g7"",""result"":""wrong_move"",""errorMessage"":""""}]"
20260528T210715Z-34b2fff9,2026-05-28T21:08:26.643Z,lichess-puzzles-v1,uci-next-move-v1,openai/gpt-5.4-mini,lichess:Aw4iZ,Aw4iZ,1362,1200-1599,1300-1399,intermezzo,invalid_format,false,false,false,0,"[""h5d1"",""f1d1"",""c6d4""]","[""h5d1"",""c6d4""]",[],[],0,,887,75,13,88,"[{""turnIndex"":0,""prompt"":""Position FEN: r1b1kbnr/pp3ppp/2n1p3/7q/2BN4/8/PPPN1PPP/R1BQ1RK1 b kq - 0 8\nFind the best move for the side to move.\nReply with UCI move notation only."",""rawAnswer"":""Qh5"",""parsedMove"":"""",""expectedMove"":""h5d1"",""result"":""invalid_format"",""errorMessage"":""""}]"
20260528T210715Z-34b2fff9,2026-05-28T21:08:27.530Z,lichess-puzzles-v1,uci-next-move-v1,openai/gpt-5.4-mini,lichess:xxsYf,xxsYf,1975,1600-1999,1900-1999,attraction,wrong_move,false,false,false,0,"[""b8b5"",""a5b5"",""c7c6"",""d5e4"",""c6b5"",""e4f5"",""d7e8"",""f5g6"",""e8f8""]","[""b8b5"",""c7c6"",""c6b5"",""d7e8"",""e8f8""]","[""c7c6""]",[],0,,5207,70,14,84,"[{""turnIndex"":0,""prompt"":""Position FEN: 1r6/2pk4/3p1P2/RP1Kp1p1/6P1/6P1/8/8 b - - 0 46\nFind the best move for the side to move.\nReply with UCI move notation only."",""rawAnswer"":""c7c6"",""parsedMove"":""c7c6"",""expectedMove"":""b8b5"",""result"":""wrong_move"",""errorMessage"":""""}]"
20260528T210715Z-34b2fff9,2026-05-28T21:08:32.737Z,lichess-puzzles-v1,uci-next-move-v1,openai/gpt-5.4-mini,lichess:6RXXg,6RXXg,1704,1600-1999,1700-1799,mate,wrong_move,false,false,false,0,"[""b2b4"",""c5c4"",""h6c6""]","[""b2b4"",""h6c6""]","[""h6h8""]",[],0,,869,69,14,83,"[{""turnIndex"":0,""prompt"":""Position FEN: 4r3/8/p6R/1pkp4/8/2P3r1/PP1K1p2/4n3 w - - 0 44\nFind the best move for the side to move.\nReply with UCI move notation only."",""rawAnswer"":""h6h8"",""parsedMove"":""h6h8"",""expectedMove"":""b2b4"",""result"":""wrong_move"",""errorMessage"":""""}]"
20260528T210715Z-34b2fff9,2026-05-28T21:08:33.607Z,lichess-puzzles-v1,uci-next-move-v1,openai/gpt-5.4-mini,lichess:bHLqd,bHLqd,2177,2000-2399,2100-2199,advancedPawn,wrong_move,false,false,false,0,"[""e6d7"",""e8e1"",""c1d2""]","[""e6d7"",""c1d2""]","[""e1e4""]",[],0,,2345,80,14,94,"[{""turnIndex"":0,""prompt"":""Position FEN: 1r2r1k1/3q4/1p2P1p1/p1p3Pp/1nP5/6QN/1P6/2K1R3 w - - 0 33\nFind the best move for the side to move.\nReply with UCI move notation only."",""rawAnswer"":""e1e4"",""parsedMove"":""e1e4"",""expectedMove"":""e6d7"",""result"":""wrong_move"",""errorMessage"":""""}]"
20260528T210715Z-34b2fff9,2026-05-28T21:08:35.952Z,lichess-puzzles-v1,uci-next-move-v1,openai/gpt-5.4-mini,lichess:i8DfM,i8DfM,2029,2000-2399,2000-2099,mate,wrong_move,false,false,false,0,"[""g6h7"",""g8h8"",""f1f8""]","[""g6h7"",""f1f8""]","[""g6e8""]",[],0,,2010,77,14,91,"[{""turnIndex"":0,""prompt"":""Position FEN: 6k1/6p1/p3p1B1/1p2q1b1/7p/1P5P/P1Qr2P1/5R1K w - - 1 35\nFind the best move for the side to move.\nReply with UCI move notation only."",""rawAnswer"":""g6e8"",""parsedMove"":""g6e8"",""expectedMove"":""g6h7"",""result"":""wrong_move"",""errorMessage"":""""}]"
20260528T210715Z-34b2fff9,2026-05-28T21:08:37.961Z,lichess-puzzles-v1,uci-next-move-v1,openai/gpt-5.4-mini,lichess:t42fM,t42fM,2450,2400-plus,2400-2499,attraction,wrong_move,false,false,false,0,"[""c4c3"",""d2c3"",""f8c8"",""c3d2"",""c8c4""]","[""c4c3"",""f8c8"",""c8c4""]","[""f8h8""]",[],0,,1277,83,14,97,"[{""turnIndex"":0,""prompt"":""Position FEN: r4q1r/1k2bp2/4p1p1/1p1pP3/1PpP1PB1/4B2P/1Q1K4/R4R2 b - - 0 40\nFind the best move for the side to move.\nReply with UCI move notation only."",""rawAnswer"":""f8h8"",""parsedMove"":""f8h8"",""expectedMove"":""c4c3"",""result"":""wrong_move"",""errorMessage"":""""}]"
20260528T210715Z-34b2fff9,2026-05-28T21:08:39.239Z,lichess-puzzles-v1,uci-next-move-v1,openai/gpt-5.4-mini,lichess:NblXJ,NblXJ,2415,2400-plus,2400-2499,advantage,wrong_move,false,false,false,0,"[""h8f8"",""h4h7"",""f8f5"",""f4g4"",""f5d5""]","[""h8f8"",""f8f5"",""f5d5""]","[""h8g8""]",[],0,,1028,70,14,84,"[{""turnIndex"":0,""prompt"":""Position FEN: 7R/3p3P/2p5/1pPb1p2/1P3k1r/2KB4/8/8 w - - 0 45\nFind the best move for the side to move.\nReply with UCI move notation only."",""rawAnswer"":""h8g8"",""parsedMove"":""h8g8"",""expectedMove"":""h8f8"",""result"":""wrong_move"",""errorMessage"":""""}]"
